mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,fg_id,fg_name,fg_pos,lahman_id,retro_id,retro_name,debut
608701,Rob Refsnyder,LF,TB,Tampa Bay Rays,R,R,1991,100317,refsnro01,Rob Refsnyder,13770,Rob Refsnyder,2B/OF,refsnro01,refsr001,Rob Refsnyder,20150711
608703,Matt Reynolds,SS,WSH,Washington Nationals,R,R,1990,100318,reynoma03,Matt Reynolds,13788,Matt Reynolds,3B/SS,reynoma03,reynm003,Matt Reynolds,20160517
608715,Eric Stamets,SS,CLE,Cleveland Indians,R,R,1991,100321,,,sa621787,Eric Stamets,SS,,,,22220202
608716,Drew Steckenrider,P,MIA,Miami Marlins,R,R,1991,100322,steckdr01,Drew Steckenrider,18806,Drew Steckenrider,P,steckdr01,stecd001,Drew Steckenrider,20170524
608717,Chris Stratton,P,LAA,Los Angeles Angels,R,R,1990,100323,stratch01,Chris Stratton,13761,Chris Stratton,P,stratch01,strac001,Chris Stratton,20160530
608718,Brent Suter,P,MIL,Milwaukee Brewers,L,L,1989,100324,suterbr01,Brent Suter,13942,Brent Suter,P,suterbr01,suteb001,Brent Suter,20160819
608724,Adam Walker,OF,BAL,Baltimore Orioles,R,R,1991,100326,,,sa621791,Adam Brett Walker,,,,,22220202
609275,Adalberto Mondesi,SS,KC,Kansas City Royals,S,R,1995,100344,mondera02,Adalberto Mondesi,13769,Adalberto Mondesi,2B/SS,mondera02,mondr003,Raul Mondesi,20160726
609280,Miguel Andujar,3B,NYY,New York Yankees,R,R,1995,100349,andujmi01,Miguel Andujar,15878,Miguel Andujar,3B,andujmi01,andum001,Miguel Andujar,20170628
610141,Wuilmer Becerra,OF,NYM,New York Mets,R,R,1994,100353,,,sa659205,Wuilmer Becerra,,,,,22220202
610143,Alberto Tirado,P,PHI,Philadelphia Phillies,R,R,1994,100354,,,sa659315,Alberto Tirado,,,,,22220202
611093,Silvino Bracho,P,ARI,Arizona Diamondbacks,R,R,1992,100355,brachsi01,Silvino Bracho,15051,Silvino Bracho,P,brachsi01,bracs001,Silvino Bracho,20150830
611177,Adonis Garcia,3B,ATL,Atlanta Braves,R,R,1985,100357,garciad01,Adonis Garcia,13777,Adonis Garcia,3B,garciad01,garca004,Adonis Garcia,20150519
612272,Raudel Lazo,P,MIA,Miami Marlins,L,L,1989,100365,lazora01,Raudel Lazo,14077,Raudel Lazo,P,lazora01,lazor001,Raudel Lazo,20150905
612434,Miguel Castro,P,BAL,Baltimore Orioles,R,R,1994,100368,castrmi01,Miguel Castro,15684,Miguel Castro,P,castrmi01,castm002,Miguel Castro,20150406
612792,Jesus Castillo,P,LAA,Los Angeles Angels,R,R,1995,100374,,,sa657701,Jesus Castillo,P,,,,22220202
613534,Austin Adams,P,WSH,Washington Nationals,R,R,1991,100392,adamsau02,Austin Adams,13801,Austin Adams,P,adamsau02,adama002,Austin Adams,20170715
614171,Daniel Bravo,2B,SD,San Diego Padres,R,R,1995,100402,,,sa657827,Daniel Bravo,,,,,22220202
614173,Franchy Cordero,LF,SD,San Diego Padres,L,R,1994,100404,cordefr02,Franchy Cordero,14567,Franchy Cordero,OF,cordefr02,cordf003,Franchy Cordero,20170527
614177,Franmil Reyes,RF,SD,San Diego Padres,R,R,1995,100406,reyesfr01,Franmil Reyes,14566,Franmil Reyes,OF,,reyef001,Franmil Reyes,20180514
614179,Jose Ruiz,P,CWS,Chicago White Sox,R,R,1994,100408,ruizjo01,Jose Ruiz,14552,Jose Ruiz,P,ruizjo01,ruizj001,Jose Ruiz,20170724
620982,Ricardo Pinto,P,CWS,Chicago White Sox,R,R,1994,100472,pintori01,Ricardo Pinto,16318,Ricardo Pinto,P,pintori01,pintr002,Ricardo Pinto,20170531
621002,Daniel Robertson,2B,TB,Tampa Bay Rays,R,R,1994,100488,roberda10,Daniel Robertson,14145,Daniel Robertson,2B/SS,roberda10,robed004,Daniel Robertson,20170404
621035,Chris Taylor,SS,LAD,Los Angeles Dodgers,R,R,1990,100496,tayloch03,Chris Taylor,13757,Chris Taylor,SS/OF,tayloch03,taylc001,Chris Taylor,20140724
621043,Carlos Correa,SS,HOU,Houston Astros,R,R,1994,100502,correca01,Carlos Correa,14162,Carlos Correa,SS,correca01,corrc001,Carlos Correa,20150608
621044,Jesmuel Valentin,3B,PHI,Philadelphia Phillies,S,R,1994,100503,valenje01,Jesmuel Valentin,14548,Jesmuel Valentin,2B/3B,,valej006,Jesmuel Valentin,20180429
621072,Nick Travieso,P,CIN,Cincinnati Reds,R,R,1994,100508,,,sa657906,Nick Travieso,,,,,22220202
